Brand,Name,Total Loads,Total Plays,Unique Loads,Unique Plays,Average Percent Viewed,Duration,Play Rate
Old Branding        ,Vid-QA-00001,7814,7701,5611,5608,0.71424,149,0.99947
Old Branding        ,Vid-QA-00002,7866,7824,5650,5687,0.65495,285,1
Old Branding        ,Vid-QA-00003,7990,7675,5663,5540,0.72013,78,0.97828
Old Branding        ,Vid-QA-00004,8000,7560,5668,5578,0.67445,247,0.98412
Old Branding        ,Vid-QA-00005,8221,8176,5817,5904,0.64846,238,1
Old Branding        ,Vid-QA-00006,6586,6246,5231,5053,0.72041,116,0.96597
Old Branding        ,Vid-QA-00007,6641,6403,5195,5046,0.66781,110,0.97132
Old Branding        ,Vid-QA-00008,6806,6673,5259,5206,0.72316,277,0.98992
Old Branding        ,Vid-QA-00009,6841,6675,5338,5288,0.70038,126,0.99063
Old Branding        ,Vid-QA-00010,7081,6855,5600,5507,0.7378,127,0.98339
Old Branding        ,Vid-QA-00011,7741,7491,5526,5469,0.69457,220,0.98969
Old Branding        ,Vid-QA-00012,6943,6721,5206,5118,0.68721,166,0.9831
Old Branding        ,Vid-QA-00013,6911,6784,5186,5193,0.65643,250,1
Old Branding        ,Vid-QA-00014,7679,7598,5543,5584,0.67821,359,1
Old Branding        ,Vid-QA-00015,7279,7197,5370,5413,0.69477,173,1
Old Branding        ,Vid-QA-00016,3453,3259,2541,2416,0.66765,62.72,0.95081
Old Branding        ,Vid-QA-00017,6301,6079,4982,4859,0.68175,167,0.97531
Old Branding        ,Vid-QA-00018,6343,6078,5080,4927,0.72207,141,0.96988
Old Branding        ,Vid-QA-00019,6433,6190,5007,4867,0.65139,179,0.97204
Old Branding        ,Vid-QA-00020,6461,6258,5060,4962,0.67647,282,0.98063
Old Branding        ,Vid-QA-00021,6485,6301,5091,5011,0.68813,141,0.98429
Old Branding        ,Vid-QA-00022,6597,6280,5067,4902,0.6984,118,0.96744
Old Branding        ,Vid-QA-00023,6389,6104,4985,4835,0.6898,174,0.96991
Old Branding        ,Vid-QA-00024,6617,6336,5057,4935,0.67813,255,0.97588
Old Branding        ,Vid-QA-00025,6627,6357,5086,4957,0.7004,101,0.97464
Old Branding        ,Vid-QA-00026,6685,6359,5358,5184,0.68855,203,0.96753
Old Branding        ,Vid-QA-00027,7137,6842,5331,5170,0.65357,257,0.9698
Old Branding        ,Vid-QA-00028,7725,7489,5274,5208,0.63816,240,0.98749
Old Branding        ,Vid-QA-00029,6340,6244,3861,3835,0.63901,222,0.99327
Old Branding        ,Vid-QA-00030,5338,5136,3755,3646,0.71,97,0.97097
Old Branding        ,Vid-QA-00031,6093,5977,3735,3691,0.61307,206,0.98822
Old Branding        ,Vid-QA-00032,3908,3661,3355,3198,0.5328,318,0.9532
Old Branding        ,Vid-QA-00033,16531,16026,11626,11507,0.56312,305,0.98976
Old Branding        ,Vid-QA-00034,180908,170840,127911,125807,0.6559,86.034,0.98355
Old Branding        ,Vid-QA-00035,164695,157610,122052,120191,0.67523,92,0.98475
Old Branding        ,Vid-QA-00036,148314,141318,115517,112920,0.6969,82.4,0.97752
Old Branding        ,Vid-QA-00037,146210,139285,112709,110155,0.70056,85.134,0.97734
Old Branding        ,Vid-QA-00038,131188,124524,104506,101477,0.74366,47,0.97102
Old Branding        ,Vid-QA-00039,124993,118783,103085,100047,0.74454,43,0.97053
Old Branding        ,Vid-QA-00040,122914,117168,102332,99455,0.73194,43.3,0.97189
Old Branding        ,Vid-QA-00041,124428,117934,101574,98175,0.72845,39.634,0.96654
Old Branding        ,Vid-QA-00042,99052,94381,78577,76097,0.69689,99,0.96844
Old Branding        ,Vid-QA-00043,93868,88743,77648,75021,0.72683,41,0.96617
Old Branding        ,Vid-QA-00044,95720,90053,77384,74662,0.70003,42.067,0.96482
Old Branding        ,Vid-QA-00045,103042,97721,77116,75438,0.63462,84.367,0.97824
Old Branding        ,Vid-QA-00046,101257,95142,79514,76616,0.67387,53,0.96355
Old Branding        ,Vid-QA-00047,95490,89926,77083,73921,0.72546,38,0.95898
Old Branding        ,Vid-QA-00048,98735,92550,76702,73678,0.68826,42,0.96057
Old Branding        ,Vid-QA-00049,14755,13593,11787,11052,0.74221,95,0.93764
Old Branding        ,Vid-QA-00050,87286,81702,68252,65012,0.64809,46.167,0.95253
Old Branding        ,Vid-QA-00051,88139,80822,68302,64518,0.64219,52,0.9446
Old Branding        ,Vid-QA-00052,90208,84446,69277,66477,0.66875,101.167,0.95958
Old Branding        ,Vid-QA-00053,429,400,318,303,0.58207,40.8,0.95283
Old Branding        ,Vid-QA-00054,790,783,503,510,0.73793,80.834,1
Old Branding        ,Vid-QA-00055,809,807,518,532,0.69274,213.66701,1
Old Branding        ,Vid-QA-00056,973,611,574,485,0.72156,335.06699,0.84495
Old Branding        ,Vid-QA-00057,1010,636,567,508,0.84241,53.5,0.89594
Old Branding        ,Vid-QA-00058,1010,1007,541,548,0.68036,135.39999,1
Old Branding        ,Vid-QA-00059,1336,1297,669,669,0.56346,146.93401,1
Old Branding        ,Vid-QA-00060,833,817,549,551,0.70729,195.067,1
Old Branding        ,Vid-QA-00061,959,619,621,518,0.83573,69.667,0.83414
Old Branding        ,Vid-QA-00062,1291,1280,728,749,0.5935,143.834,1
Old Branding        ,Vid-QA-00063,4514,4359,3194,3171,0.53172,96.2,0.9928
Old Branding        ,Vid-QA-00064,675,667,419,424,0.70479,80.6,1
Old Branding        ,Vid-QA-00065,686,689,445,446,0.75339,50.467,1
Old Branding        ,Vid-QA-00066,722,474,454,398,0.7478,229.567,0.87665
Old Branding        ,Vid-QA-00067,560,563,396,399,0.75865,122.1,1
Old Branding        ,Vid-QA-00068,687,683,398,403,0.66533,96.434,1
Old Branding        ,Vid-QA-00069,593,594,407,417,0.75174,128.3,1
Old Branding        ,Vid-QA-00070,757,764,432,447,0.61882,167.8,1
Old Branding        ,Vid-QA-00071,769,408,436,357,0.73463,132.16701,0.81881
Old Branding        ,Vid-QA-00072,600,607,408,423,0.73294,112.2,1
Old Branding        ,Vid-QA-00073,620,610,406,408,0.74157,38.367,1
Old Branding        ,Vid-QA-00074,672,445,409,362,0.74061,133.967,0.88509
Old Branding        ,Vid-QA-00075,606,592,384,388,0.73876,58.8,1
Old Branding        ,Vid-QA-00076,627,631,406,422,0.68564,179.60001,1
Old Branding        ,Vid-QA-00077,632,657,396,410,0.66066,183.334,1
Old Branding        ,Vid-QA-00078,627,368,394,323,0.79645,78.234,0.8198
